id	title	slug	bucket	struggle	result_set	viral_angle	virality_score	evidence
61	Is It God or Is It Just You?	is-it-god-or-just-you	profile	fear of the wrong choice	Mostly God's Nudge | Mostly Your Own Desire | A Healthy Mix | Too Tangled to Tell Yet	Tackles the #1 secret fear in Christian decisions head-on with a shareable, slightly cheeky title; everyone has whispered this	88	Direct match to searches 'how do I know if it's God or me'; La Vista Church + In Light of Scripture answer 'is this God or my own want' for jobs and marriage
62	What Is God Preparing You For?	what-is-god-preparing-you-for	profile	feeling stuck and purposeless	A Leadership Assignment | A Season of Rest | A Hidden Influence | A Hard but Holy Calling | Something You Can't See Yet	Reframes the stuck/wilderness season as preparation, not punishment; deeply encouraging and screenshot-worthy	88	'Obscurity comes before assignment', 'God makes men in the desert', 'God had used those 40 years to prepare Moses' all surface in wilderness devotionals
63	Are You a Leah or a Rachel?	are-you-a-leah-or-a-rachel	archetype	comparison	Leah (overlooked but chosen) | Rachel (loved but striving)	A binary "which sister" quiz in the proven Mary-or-Martha mold, but about being the unseen one vs the envied one; instantly debatable and shareable.	88	Bible.org titles Leah "The Woman No Man Loved But Every Woman Envied"; teaching corpus frames the Leah/Rachel rivalry as overlooked-vs-favored, a built-in comparison dyad.
64	Why Is It So Hard for You to Make Friends?	why-hard-to-make-friends	profile	friendship	You Wait to Be Chosen | You Fear the First Move | You Keep It Surface | You're Spread Too Thin	Names your specific friendship blocker, an enormous adult/Christian pain point, with one tiny biblical next step; "this is literally me" energy.	88	"How to make friends as an adult" is a major topic (Psychology Today, Gospel Coalition, Crosswalk "10 Ways to Make Friends if You're Lonely at Church"); share of US adults with no close friends quadrupled to 12% since 1990.
65	Which "Found by God" Story Is Yours?	found-by-god-story	archetype	belonging	The Prodigal Who Came Home | Zacchaeus in the Tree | The Lost Sheep | The Woman at the Well	For anyone who's felt lost or far off; the "God came looking for ME" payoff is profoundly moving and shareable. Belonging through being sought.	88	Second-chance/belonging corpus centers the prodigal son, Zacchaeus ("you belong with me" before he changed), and the lost sheep/coin/son ("Jesus came to seek and save the lost").
66	What's Your Love Style, Biblically?	whats-your-love-style-biblically	profile	Not understanding how you give and receive love in relationships	Covenant Lover (Ruth) | Sacrificial Lover (Hosea) | Partner-in-Mission (Priscilla) | Devoted Protector (Boaz) | Healing-in-Progress	Faith reframe of the viral love-languages/love-styles quiz; built for couples to compare and tag each other	88	Gary Chapman love languages + Truity '7 Love Styles Test' are massive; marriagesharing.com Christian attachment quiz; bible-couple love archetypes (Time-Warp Wife top couples)
67	What's Your Marriage Conflict Style?	whats-your-marriage-conflict-style	profile	Fighting the same fight, shutting down, or drifting apart	The Stonewaller | The Pursuer | The Peacemaker | The Score-Keeper | The Avoider	Couples take it together and instantly recognize their fight pattern; classic 'send this to your spouse' energy	88	r/Christianmarriage conflict/communication; Eph 4:26 'do not let the sun go down'; 'quick to listen slow to speak'; emotional-distance and roommate-marriage themes
68	What's Your Grief Style?	whats-your-grief-style	profile	grief	Tearful Lamenter | Quiet Carrier | Busy Doer | Hidden Griever	Names HOW you grieve (intuitive vs instrumental vs dissonant) so people who feel they grieve "wrong" finally feel seen and validated	88	Grief-styles framework (Martin/Doka intuitive vs instrumental vs dissonant) widely covered: shiftingtidestherapyny.com, whatsyourgrief.com, en.wikipedia.org/wiki/Intuitive-instrumental_grief; high emotional resonance for "am I grieving wrong" searchers
69	Which Forgiven Bible Figure Are You?	which-forgiven-bible-figure-are-you	archetype	guilt	Peter (Denied, Restored) | Paul (Former Enemy) | The Prodigal (Came Home) | The Woman Caught in Adultery (No Condemnation) | David (After the Fall)	Maps your past-sin story onto someone Scripture forgave - offers hope that "if God restored them, He can restore me"; highly shareable redemption frame	88	crosstalk.ai biblical examples of forgiven serious sins, pastorjasonelder.com Jesus reinstates Peter John 21, bible.org David & Bathsheba consequences
70	What's Your Money Spirit?	whats-your-money-spirit	profile	financial stress, greed vs generosity, contentment	The Hoarder | The Giver | The Worrier | The Free Spender | The Steward	Everyone secretly wonders if their money habits are godly or greedy; a 4-archetype money-personality reveal is endlessly shareable and quietly convicting.	88	GotQuestions 'is it a sin to want money' + Tithely 19 Bible verses on greed/wealth; Hebrews 13:5 contentment framing; high search volume on Christian money attitudes.
71	Why Can't You Trust Church Again?	why-cant-you-trust-church-again	profile	rebuilding trust after church hurt	A Leader Abused Their Power | You Were Shamed for Asking Questions | Community Turned on You | You Saw Behind the Curtain | You're Just Not Ready Yet	Validates the wall you put up and reframes slow trust as wisdom, not weakness; 'can't go back to church' is a raw, relatable confession	88	Biblical Counseling Coalition 'learning to trust again after church hurt' (trust built on evidence of the Spirit, not time); 9Marks and F. Remy Diederich on the 'walking wounded' misreading new churches
72	What's Keeping You Stuck in Unforgiveness?	whats-keeping-you-stuck-in-unforgiveness	profile	holding a grudge	You Think Forgiving Means It Was Okay | You're Protecting Yourself From More Hurt | You're Waiting for Them to Pay | Forgiving Feels Like Losing	Diagnoses the belief jamming the lock on forgiveness; reframes the myths that keep people imprisoned in resentment	88	Mayo Clinic 'letting go of grudges', Renovare 'release resentment'; Christian teaching that unforgiveness 'gives your offender ongoing power' and is a self-built prison
73	Are You Healing or Just Avoiding?	are-you-healing-or-just-avoiding	profile	healing past wounds	Truly Healing | Numbing and Calling It Peace | Spiritually Bypassing the Pain | Stuck but Honest About It	A gentle gut-check that distinguishes real healing from spiritual bypassing; the provocative either/or drives shares and self-reflection	88	Recovery sources warn against 'spiritual bypassing' and numbing; Christian teaching that 'God validates pain before He heals it' counters pretending you're fine
74	Which Healing Encounter With Jesus Is Yours?	which-healing-encounter-with-jesus	archetype	emotional healing	The Bleeding Woman (Reached Out in Desperation) | The Invalid at Bethesda ('Do You Want to Get Well?') | The Woman Caught in Sin (Released From Shame) | Bartimaeus (Cried Out for Mercy) | The Leper (Untouchable, Then Touched)	Maps you to the Gospel healing scene that mirrors your story and gives you Jesus' exact words to you; comforting, gospel-centered, eminently screenshot-worthy	88	Gospel healing encounters: the bleeding woman 'your faith has healed you', Bethesda 'do you want to get well?', the woman caught in adultery, blind Bartimaeus, the cleansed leper; hope-forward and saveable
75	Are You Stuck in Worst-Case-Scenario Mode?	are-you-stuck-in-worst-case-mode	profile	Catastrophizers mentally rehearse disasters and want to know how deep they're in	Full Catastrophe Mode | Frequent Spiraler | Situational Catastrophizer | Mostly Grounded | Anchored in Hope	The "I always assume the worst" confession is universal and the result gives a takeable thought-captive next step	87	"How to stop catastrophizing: a Christian woman's guide" and future-tripping content show strong demand for naming worst-case thinking
76	Is Your Yes Burning You Out?	is-your-yes-burning-you-out	profile	Christian people-pleasers say yes until they resent everyone and want to see the damage	Chronic Yes (heading for collapse) | Guilt-Driven Yes | Boundary-Less | Learning to Say No | Healthy Boundaries	The people-pleasing-to-burnout pipeline is intensely relatable to Christian women and the result gives permission to say no	87	"People-pleasing leads to burnout and resentment" is a documented pattern; Christian-women-as-conditioned-people-pleasers content ranks well
77	What Stage of the Faith Journey Are You In?	what-stage-of-the-faith-journey-are-you-in	profile	doubt / distance from God	Discovery | Belonging / Discipleship | The Productive Life | The Wall (inward journey) | Outward Love (the far side)	Maps your wrestling onto the famous "Wall" of the Critical Journey so your crisis finally makes sense	87	Hagberg & Guelich "The Critical Journey" and Fowler "Stages of Faith" are heavily blogged (Becoming Me podcast, Restoring The Heart, 2nd Half Collaborative); "the Wall" is a sticky, shareable concept
78	Why Aren't Your Prayers Being Answered?	why-arent-your-prayers-being-answered	profile	unanswered prayer	It's a "Not Yet" | It's a Loving "No" | A Heart Barrier (unforgiveness) | Wrong-Motive Asking | He Answered Differently Than You Asked	Gently names which of the classic reasons fits your situation instead of leaving you feeling ignored	87	JD Greear "5 Reasons", Billy Graham, GotQuestions "unanswered-prayer", For the Gospel "8 Reasons", Wayne Stiles — massive, durable search demand around "why won't God answer my prayers"
79	What's Really Driving Your Deconstruction?	whats-really-driving-your-deconstruction	profile	deconstruction	Church Hurt | Intellectual Questions | Hypocrisy You Witnessed | A Prayer God Didn't Answer | Inherited Faith You Never Owned	Surfaces the actual root of your deconstruction so you know whether to rebuild or grieve	87	Carey Nieuwhof "5 Real Reasons", Answers in Genesis "Breaking Down Deconstruction", Sophia Society, Wikipedia "Faith deconstruction" all enumerate church-hurt/hypocrisy/intellectual roots; massive TikTok scale
80	Are You Spiritually Burned Out or Spiritually Dry?	burned-out-or-spiritually-dry	profile	spiritual dryness / burnout	Burnout (you gave too much) | Dryness (a normal desert) | Depression (needs care) | The Dark Night | Disillusionment (a belief broke)	Untangles four things people blur together so you stop treating burnout like a sin problem	87	iBelieve "Spiritually Burned Out But Still Believe... Faith Fatigue", ACS Technologies "Spiritual Burnout in Churches", Soul Shepherding dark-night; growing burnout/deconstruction overlap
81	Which Reluctant Believer Are You?	which-reluctant-believer-are-you	archetype	doubt / is my faith real	Gideon (test it twice) | Thomas (show me) | Nicodemus (come at night) | Naomi (call me Mara, I'm bitter) | The Mark 9 Father (I believe, help me) | Nathanael (can anything good come?)	Casts your half-hearted, suspicious faith as a real Bible character instead of a failure	87	Abide "Biblical Figures Who Turned Doubt into Devotion", BibleStudyTools on Thomas, TGC John the Baptist; reluctant/skeptical figures are vivid, share-friendly, and net-new vs existing apostle quiz
82	What's Your God-Given Calling Style?	whats-your-calling-style	profile	what am I here for	The Builder | The Healer | The Messenger | The Shepherd | The Maker | The Bridge	Distinct from a generic calling profile: typed by HOW you're wired to serve, not gifts inventory; turns 'what am I here for' into an identity badge	87	iBelieve '6 Questions to Identify Your Calling', LeTourneau 'What is a Calling', and existing 'What Is My God-Given Purpose' quizzes prove strong demand
83	Which Quarter-Life Crisis Are You Having?	which-quarter-life-crisis	profile	quarter-life crisis	The Career Spiral | The Purpose Panic | The Faith Wobble | The Comparison Trap | The 'Is This It?' Drift	Names the specific flavor of the 20s/30s unraveling with a faith lens; quarter-life crisis is a highly shareable, self-deprecating hook	87	ChristianChat 'quarter-life crisis in your 20s/30s' thread + Groundwork 'Feeling Lost in Your 20s and 30s' confirm this exact language and audience
84	Why Hasn't God Answered Yet?	why-hasnt-god-answered-yet	profile	waiting on God	He's Preparing You | He's Protecting You | He Already Answered, Just Not How You Hoped | The Answer Is 'Wait'	Speaks to the painful silence in waiting/decision seasons with four merciful possibilities; deeply emotional and saveable	87	Joyce Meyer 'When, God, When?', 'a closed door is protection not rejection', and the universal ache of unanswered prayer in waiting content
85	What's Your Hidden Insecurity?	whats-your-hidden-insecurity	profile	identity	Fear of Being Found Out | Fear of Not Mattering | Fear of Rejection | Fear of Falling Behind	Surfaces the insecurity you mask, with a gentle scripture reframe; "the thing I never say out loud" framing drives private shares and saves.	87	Identity-in-Christ resources (Cru, Esther Dorotik "Overcoming the Lies Lurking Within") name hidden fears of being unlovable/not enough; "feeling not good enough" and impostor feelings are recurring Christian struggles.
86	Gentle Parenting or Biblical Discipline: Where Do You Land?	gentle-parenting-or-biblical-discipline	profile	Torn between gentle-parenting trends and traditional biblical discipline	Mostly Gentle | Balanced Grace-and-Truth | Mostly Structure | Still Figuring It Out	Puts you on the most-argued Christian-mom spectrum of the moment; comment-bait and shareable	87	Multiple major outlets debating gentle parenting biblically (TGC, Desiring God, iBelieve, Women in Apologetics); punishment vs natural consequences
87	Which Generational Curse Are You Called to Break?	which-generational-curse-are-you-called-to-break	archetype	Identifying the specific bondage running through your bloodline	Anger and Abuse | Addiction | Fatherlessness | Fear and Poverty | Pride and Control	Names your specific spiritual battle as a calling; testimony-comment and share magnet	87	Pastor Vlad 'bloodline patterns'; Kris Reece 'how to break generational curses'; kingdomblueprint777 generational curses; recognizable curse categories
88	What's Blocking You From Receiving Forgiveness?	whats-blocking-you-from-receiving-forgiveness	profile	guilt	Guilt You Keep Re-Paying | Shame You Hide | A Sin You Think Is Too Big | Not Feeling Forgiven	Targets the exact searcher who knows God forgives but can't FEEL it - reframes self-forgiveness as receiving grace already given	87	lachristiancounseling.com/how-to-forgive-yourself, epm.org "struggle to forgive yourself", proverbs31.org Lysa TerKeurst "person I'm struggling to forgive is me"
89	Where Is God in Your Pain Right Now?	where-is-god-in-your-pain-right-now	profile	suffering	The Silent God (Felt Absence) | The Refining God (Purpose) | The Weeping God (With You) | The God You're Angry At	Meets the #1 suffering question head-on and gives language to where someone actually IS with God in their pain instead of where they "should" be	87	billygraham.org/articles/suffering-why-does-god-allow-it, davidjeremiah.org makingsense suffering, thinke.org/blog/god-allow-suffering (huge search demand)
90	What Habit Is Quietly Running Your Life?	what-habit-is-running-your-life	profile	addiction, self-control, breaking bad habits	The Phone | The Snack/Comfort | The Scroll-Compare | The Escape Vice | The Overwork	The 'quietly running your life' framing is irresistibly self-aware; surfaces the secret habit people half-know rules them.	87	Desiring God 'Smartphone Addiction and Our Spiritual ADD'; APA stat 70% feel phone-addicted, 7.5 hrs/day average; idolatry-of-habit teaching.
91	Which Toxic Church Pattern Did You Survive?	which-toxic-church-pattern-survived	profile	leaving a toxic church	The Control Culture | The Celebrity Pastor | The Shame Machine | The Us-vs-Them Bubble | The Spiritual Bypassing	Helps you name the exact unhealthy system you escaped, which is itself a documented first step to healing; high recognition, very shareable	87	Sandstone Care and CAC list high-control environments, shame, and identity-suppression as marks of spiritual abuse; 'name what happened to you' is cited as the validating first step
92	How Bitter Have You Become? (Be Honest)	how-bitter-have-you-become	profile	bitterness	Barely a Seed | A Root Taking Hold | A Wall Around Your Heart | Bitterness Is Driving Now	A brave, mirror-like self-assessment with a redemptive off-ramp; the 'be honest' framing invites confession and sharing	87	'Root of bitterness' (Hebrews 12:15) imagery; Desiring God and Christianity Today frame bitterness as a hardening that 'pulls us away from the Lord' if left unchecked
93	Which Faith-Deconstruction Stage Are You In?	which-faith-deconstruction-stage	profile	deconstruction after church hurt	The First Cracks | Angry and Questioning Everything | Sifting What's Real From What Was Control | Quietly Rebuilding | Reconstructed, on Your Own Terms	Names where you are in the messy faith-shift after church hurt without judgment; deconstruction is a high-volume, identity-defining conversation	87	r/religioustrauma and deconstruction content frame a staged journey (questioning, anger, sifting, rebuilding); APA covers rebuilding meaning after leaving high-control religion
94	Which "Fear Not" Bible Moment Is Yours?	which-fear-not-moment-is-yours	archetype	People in panic want to stand inside a Bible scene where God showed up in the fear	Joshua "Be Strong and Courageous" | Elijah Fed by the Angel | Disciples in the Storm | Peter Walking on Water | Gideon "The Lord Is With You" | Mary "Do Not Be Afraid" | Daniel in the Lions' Den	A vivid "which scared-then-rescued Bible scene is you" badge built on the Bible's most-repeated command, fear not	86	"Fear not" / "do not be afraid" verse roundups are everywhere; Elijah-fed-by-the-angel and disciples-in-the-storm are go-to anxiety scenes in Christian content
95	Which Psalm Is for Your Anxiety?	which-psalm-for-your-anxiety	profile	People reach for the Psalms specifically when fear hits and want the one matched to their anxiety	Psalm 23 (Fear of Loss) | Psalm 46 (Chaos and Overwhelm) | Psalm 91 (Fear for Safety) | Psalm 139 (Feeling Unseen) | Psalm 56 (Afraid Right Now) | Psalm 121 (Fear of the Future) | Psalm 34 (Drowning in Worry)	A clearly distinct anxiety-specific angle on the Psalms that matches how people actually use them in panic	86	Psalms dominate "bible verses for anxiety" lists; David's anxiety in the Psalms is a recurring teaching anchor across counseling sites
96	What's Your Hustle-Culture Trap?	whats-your-hustle-culture-trap	profile	Christians feel their worth is tied to productivity and want to name the lie they've believed	Worth = Output | Can't Say No | Always Available | Rest Feels Lazy | Comparison-Driven Grind | Saving Everyone	Calls out the "my value is my productivity" lie that hustle-weary believers recognize instantly	86	Hustle-culture-vs-Sabbath content repeats that "your worth isn't your productivity"; high-functioning anxiety wears the costume of hustle
97	Are You Headed for Burnout? (Warning-Signs Check)	are-you-headed-for-burnout	profile	People want an early-warning read before they fully crash	Code Red (burnout now) | Flashing Warning Lights | Early Signs | Stretched but Stable | Sustainable Pace	An early-warning quiz creates urgency and a "send this to a friend who needs it" share moment	86	Burnout warning-sign checklists (headaches, tiredness after sleep, snapping, dread) are standard in mom/ministry burnout articles
98	Is It a Sin to Doubt? (What Your Doubt Says About You)	is-it-a-sin-to-doubt-what-yours-says	profile	doubt / fear of losing faith	Honest Seeking Doubt (not sin) | Faith Wrestling (Jacob-style) | Avoidance Doubt (dodging conviction) | Assurance Anxiety | Cynical Drift	Settles the fear "does doubting mean I'm not really saved?" by reading what's under your doubt	86	GotQuestions "salvation-doubt", 412teens, Ligonier "Can I Have Assurance If I Regularly Doubt", Focus on the Family, Brandon's Desk "Is it a sin to doubt your salvation" — high-anxiety, high-search question
99	Which Bible Prayer of Lament Is Yours Right Now?	which-lament-prayer-is-yours-right-now	archetype	unanswered prayer / God feels silent	Psalm 88 (darkness, no resolution) | Psalm 13 (how long?) | Psalm 42 (why so downcast) | Habakkuk's complaint | Job's cry | Jeremiah's bitter honesty	Hands the wrestling Christian a real prayer that lets them be brutally honest with God	86	Carrubbers Psalm 88 "When God Is Silent", Grace Church "Praying the Psalms Like Jesus", Pastor Jason Elder "Bible Verses About Lament", scielo Psalm 88 study — lament is trending in honest-faith content
100	Are You Closer to Walking Away or Coming Back?	closer-to-walking-away-or-coming-back	profile	distance from God / deconstruction	Drifting Out | Stuck at the Wall | Quietly Returning | Rebuilding Stronger | The Prodigal Turning Point	A raw directional read for the person who isn't sure which way their faith is actually moving	86	On The Line Ministries / Truthfully Michelle "Coming Back to God After Falling Away", Grace Blog, prodigal-return content is huge; pairs the leaving (deconstruction) and returning searches
101	Why Does God Feel Hidden? (What's Really Going On)	why-does-god-feel-hidden	profile	distance from God / God feels silent	He's Protecting Your Free Will | He's Closer Than the Feeling | A Sin Cloud | You're Looking for Him Wrong | The Refining Silence	Tackles the raw "if You're real, why do You hide?" question without dismissing the pain	86	CS Lewis Institute "If God Is Real, Why Does He Feel So Hidden", Catholic.com "10 Reasons for a Hidden God", flawedtheology "Divine Hiddenness", raisingjesus "Why Doesn't God Just Show Up" — high-charge apologetic-meets-personal
102	What's Keeping You From Making the Decision?	whats-blocking-your-decision	profile	big decisions	Fear of the Wrong Choice | Waiting for a Sign | Too Many Good Options | Other People's Opinions | Quiet Disobedience	Diagnoses analysis paralysis precisely; 'I can't decide' is universal and the result instantly feels like a mirror	86	Craig Groeschel 'When You Just Can't Decide', Church of Pentecost 'Analysis Paralysis: Struggle of an Overthinking Youth', '35,000 decisions a day' framing
103	What's God's Plan for This Season of Your Life?	gods-plan-for-this-season	profile	what's God's plan for me	A Season to Build | A Season to Wait | A Season to Heal | A Season to Risk | A Season to Rest	Directly answers 'what is God's plan for me' but scoped to NOW, which feels less daunting and more clickable	86	'What's God's plan for my life' is a top Christian search; season-based teaching ('everything beautiful in its time') is everywhere
104	Are You Waiting on God or Is God Waiting on You?	waiting-on-god-or-god-waiting-on-you	profile	waiting on God	God Is Building Your Patience | You're Avoiding an Obedient Step | A Mix of Both | The Wait Is Almost Over	A clever role-reversal title that reframes passive waiting; the twist makes it intensely shareable and conviction-inducing	86	'Sometimes God requires us to move forward in uncertainty' + 'God asked for obedience, not perfection' counter the passive-waiting mindset
105	Do You Have Christian Impostor Syndrome?	christian-impostor-syndrome	profile	identity	The Fraud Feeling | The Never-Holy-Enough | The Comparison Christian | The Secure-in-Grace	Names the "I'm faking my faith / everyone's holier than me" feeling so many carry silently; the diagnosis itself is the shareable hook.	86	Identity/lies devotionals describe believers feeling "you've committed too many sins, God can't really love you"; impostor-style "am I a real Christian / not holy enough" is a common quiet struggle surfaced in identity content.
106	Which Outsider Woman of the Bible Are You?	outsider-woman-of-the-bible	archetype	belonging	The Woman at the Well | Hagar | Ruth the Foreigner | The Bleeding Woman	For women who feel on the margins; each was an outsider Jesus/God moved toward. Distinct from generic woman-of-the-Bible by its "outsider/unseen" lens.	86	Crossway "5 Stories of Forgotten Women", Almost Heretical and HISsparrow lists spotlight marginalized women (woman at the well, Hagar, Ruth, the bleeding woman) as outsiders God sees and includes.
107	What's Your Attachment Style in Christian Relationships?	attachment-style-christian-relationships	profile	Anxiety, avoidance and clinginess sabotaging dating and marriage	Secure in Christ | Anxious-Reaching | Avoidant-Walled | Fearful-Torn	Rides the huge attachment-style trend with a faith lens; explains why you panic or pull away	86	marriagesharing.com 'Attachment Style Quiz For Christians' (secure/anxious/avoidant/fearful); Psychology Today attachment tests; Christian Connection 'if you're attached'
108	Are You Healing from Purity Culture?	are-you-healing-from-purity-culture	profile	Carrying shame about your body and sexuality from church teaching	Deeply Wounded | Actively Healing | Mostly Free | Never Affected	Names a wound a whole generation shares; emotionally charged and intensely shareable in deconstruction circles	86	'I Kissed Dating Goodbye' fallout; Joshua Harris renouncing it; Sojourners/ChoosingTherapy/Religion News on purity-culture shame and healing
109	Is It Guilt or Shame You're Carrying?	is-it-guilt-or-shame-youre-carrying	profile	shame	Mostly Guilt (Conviction) | Mostly Shame (Condemnation) | A Tangle of Both | Old Shame Wearing Guilt's Mask	Teaches the conviction-vs-condemnation distinction as a self-test - clarifying and freeing, names what the enemy uses to keep you stuck	86	women.lifeway.com conviction/shame/guilt, belovedwomen.org condemnation vs conviction, krisreece.com decipher guilt shame conviction condemnation
110	Can God Forgive This? What Your Answer Reveals	can-god-forgive-this-what-your-answer-reveals	profile	guilt	You Fear You're Beyond Grace | You Believe But Can't Feel It | You Hide One Secret Sin | You're Ready to Receive Mercy	Speaks directly to the "I feel unforgivable" searcher and gently dismantles the lie that any sin is too big - high-demand, deeply tender	86	levaire.com forgive yourself for something unforgivable, pursuegod.org how to forgive the unforgivable, footprintsofinspiration.com forgive past mistakes and sins
111	What's Your Hidden Stage of Grief?	whats-your-hidden-stage-of-grief	profile	grief	Numb Shock | Bargaining With God | The Anger You Won't Admit | Quiet Acceptance | Stuck in Sorrow	A faith-aware spin on grief stages that names the stage you're secretly in - very high search demand, comforting, eminently shareable	86	christchurchwoodford.org christian stages of grief; grief-stages content is perennially high-volume and emotionally sticky
112	Which Bible Figure's Temptation Are You Fighting?	which-bible-temptation-are-you-fighting	archetype	lust, greed, willpower, temptation	David (Lust) | Achan (Greed) | Esau (Appetite) | Samson (Weakness) | Jesus in the Wilderness	Pairs your private battle with a Bible figure who fought the same one; the David/Samson lust angle plus a redemptive Jesus option makes it deeply shareable.	86	Self-control biblical examples (Joseph, Paul) from Life Hope Truth; David/Samson temptation narratives; Jesus' wilderness temptation as the overcomer model.
113	Is It a Sin to Want to Be Rich? (Heart Test)	is-it-a-sin-to-want-to-be-rich	profile	greed vs generosity, ambition, love of money	Healthy Desire | Slippery Slope | Love of Money | Already Free	Answers the single most-Googled Christian money question as a personal test; the title is a perfect SEO + curiosity magnet.	86	GotQuestions 'love of money root of evil'; Catholic Answers 'Sin of Greed'; TGC 'How Can I Know if I'm Being Greedy'; 1 Tim 6:10 misquote angle.
114	Are You Secretly Jealous of Others' Success?	are-you-jealous-of-others-success	profile	envy of success, comparison, contentment	Genuinely Happy | Quietly Comparing | Resentful | Consumed By Comparison	Comparison/envy is the defining modern struggle; 'secretly jealous' is a high-curiosity, high-share confession-style hook.	86	Christian Publishing House 'Social Media Comparison and Envy'; Sunnybrook 'Overcoming Comparison and Envy'; envy says 'I hope he fails' framing.
115	Are You Ready to Find a New Church?	are-you-ready-to-find-a-new-church	profile	finding a church after leaving one	Heal First, Don't Rush | Ready to Visit but Stay on the Edges | Ready to Try Belonging Again | You Don't Owe Anyone a Timeline	Answers the loaded 'should I go back?' question with permission to go slow; church-shopping-after-hurt is a defined, searched need	86	F. Remy Diederich 'I left my toxic church, now what?' (grieve the loss first), SOLA Network and YMI 'left the church hurt and came back' on easing back in slowly
116	Which Source of Your Anger Runs Deepest?	which-source-of-your-anger	profile	anger and unforgiveness	Hurt Pretending to Be Anger | Injustice You Witnessed | Boundaries People Crossed | Fear Wearing an Angry Mask | Grief You Never Got to Feel	Reframes anger as a messenger pointing to a deeper wound, defusing shame and inviting healing; 'anger is a secondary emotion' is a viral therapy concept	86	Letting-go-of-anger content (Centerstone, Headspace) frames anger as covering hurt/fear/grief; Christian teaching to feel anger as a 'God-given emotion' after loss supports the reframe
117	Which Bible Figure's Betrayal Feels Like Yours?	which-bible-betrayal-feels-like-yours	archetype	betrayal and broken trust	Joseph (Betrayed by Family) | David (Betrayed by Absalom, His Son) | Jesus (Betrayed by a Close Friend) | Job (Failed by His Friends) | Hannah (Provoked by a Rival)	Matches the shape of your betrayal to a figure who lived it, so you feel less alone; betrayal stories are emotionally charged and screenshot-ready	86	Joseph sold by brothers, Absalom's revolt, Judas's kiss, Job's friends, Peninnah provoking Hannah are the go-to betrayal narratives; 'God meant it for good' anchors the hope
118	Which Part of You Still Needs Healing?	which-part-of-you-needs-healing	profile	emotional healing	The Anxious Child | The Angry Protector | The People-Pleaser | The Perfectionist | The One Who Went Numb	Externalizes the wounded 'part' that runs the show, making painful self-knowledge feel safe and tender; parts language is highly shareable	86	Inner-child / parts-work content (light candle 'for the wounded and judgmental parts of oneself') and IFS-style framing of protective parts is widespread in trauma-healing material
119	Which Bible Figure Hid Their Wound Like You Do?	which-bible-figure-hid-their-wound	archetype	fear of being hurt again	Elijah (Ran and Isolated in the Cave) | Mephibosheth (Hid in Lo-Debar, Sure He Was Worthless) | Hagar (Fled to the Wilderness) | Peter (Hid in Shame After Denying Jesus) | Naomi (Came Home Empty and Renamed Herself Bitter)	Names the armor you wear since the wound by matching it to a figure who hid theirs, then shows how God came looking; self-protection patterns are deeply relatable post-hurt	86	Elijah's burnout cave, Mephibosheth hiding in Lo-Debar believing he was a 'dead dog', Hagar fleeing, Peter's shame, Naomi 'call me Mara'; in each, God pursues the one in hiding
120	What's the Real Reason You Left the Church?	whats-the-real-reason-you-left-church	profile	leaving church	A Leader Hurt You | The Hypocrisy Broke You | You Were Never Allowed to Doubt | Burnout and Exhaustion | You Drifted More Than You Decided	Helps people articulate the layered 'why' behind walking away, which is the start of processing it; high-recognition, confessional hook	86	APA (2025) 'rebuilding life after organized religion', YouTube church-hurt testimonies; spiritual exhaustion and 'not allowed to question' are repeated reasons in leaving-church narratives
121	Are You Carrying More Than You Can Hold?	are-you-carrying-more-than-you-can-hold	profile	People silently shoulder everyone's burdens until they're crushed and want permission to admit it	Drowning (way past capacity) | Maxed Out | Quietly Overloaded | Stretched but Coping | Carrying a Healthy Load	The "cast your cares" theme meets a brutally relatable load-check; results feel like permission to put something down	85	1 Peter 5:7 "cast all your anxiety" is everywhere; people-pleasing-to-burnout content describes Christian women carrying everyone
122	What Kind of Rest Does Your Soul Need?	what-rest-does-your-soul-need	profile	Exhausted people don't know what would actually refill them and want a prescription	Physical Rest | Emotional Rest | Spiritual Rest | Social Rest | Sensory Rest | Creative Rest | Sabbath Rest	A "types of rest" framing (trending concept) baptized in faith; gives a personalized, shareable rest plan	85	Biblical self-care/rest content distinguishes kinds of rest beyond sleep; "types of rest" is a viral wellness concept ripe for a faith spin
123	Which Rhythm of Jesus Do You Most Need?	which-rhythm-of-jesus-do-you-need	archetype	Burned-out believers want to copy how Jesus actually lived unhurried and rested	Withdraw to a Quiet Place | Sleep in the Storm | One Thing Is Needed (Mary) | Come to Me, All Who Are Weary | Walk, Don't Rush | Feast and Celebrate	A fresh, identity-style "which practice of Jesus is your missing piece" that frames rest as imitation of Christ	85	Rest teaching repeatedly points to Jesus withdrawing, sleeping in the storm, and "come to me all who are weary" (Matt 11:28) as the model
124	How Far From God Do You Actually Feel?	how-far-from-god-do-you-actually-feel	profile	distance from God	Numb & Distant | Cautiously Reaching | One Foot Out | Closer Than You Think | In the Long Wait	A gut-check that measures the gap and tells you the one thing pulling you away most	85	Life.Church "Feel Distant From God", Desiring God "What to Do When God Feels Distant", TGC "When God Seems Far Away", Abundant Life "Why Do I Feel Far From God" — perennial, high-volume topic
